ori_first_two,data_year,Acquaintance,Babysittee,Boyfriend/Girlfriend,Child of Boyfriend/Girlfriend,Child,Employee,Employer,Friend,Grandchild,Grandparent,Homosexual Relationship,In-Law,Neighbor,Other Family Member,Otherwise Known,Parent,Relationship Unknown,Sibling,Stepchild,Spouse,Stepparent,Stepsibling,Stranger,Offender,Ex Spouse,Common Law Spouse
OK,2018,3604,19,3244,204,1520,58,63,766,160,145,81,336,545,791,4091,1021,3597,830,372,2112,210,59,1757,837,566,186
OK,2019,5568,46,4282,370,2010,153,132,1009,205,188,148,427,792,1169,5356,1312,3889,1004,441,2515,233,88,4711,910,610,218
OK,2020,5989,34,5259,394,2137,178,130,1095,210,181,184,409,1107,1414,6240,1569,4551,1185,401,2640,233,99,5870,1142,732,214
OK,2021,9631,66,9921,519,3411,260,261,1742,349,334,0,532,1882,2087,10384,2484,5501,1805,585,4523,353,109,11029,1574,1343,237
OK,2022,9926,55,9613,532,3458,300,268,1600,325,334,0,533,1884,2169,11354,2591,5817,1920,577,4544,328,118,11218,1709,1280,251
OR,2018,6388,61,7993,256,1516,100,58,1171,140,156,222,209,640,828,3549,1844,5329,1111,333,2323,231,67,6724,1456,698,130
OR,2019,6160,49,7187,252,1555,112,119,1115,155,120,4,181,693,829,3506,1831,5693,1169,295,2405,213,71,6477,1791,535,134
OR,2020,5342,47,7187,238,1392,76,49,977,125,133,0,207,871,804,3271,1898,5189,1136,269,2346,237,77,6457,1896,570,146
OR,2021,5435,32,7292,255,1405,91,56,1003,122,133,0,203,944,915,3299,1800,6107,1152,243,2323,189,75,7061,1982,538,136
OR,2022,5271,36,6538,190,1429,90,56,997,98,142,0,142,919,800,3246,1781,6313,1087,242,2254,193,50,6798,1995,532,158
PA,2018,199,3,205,10,29,1,1,17,4,11,7,1,27,28,86,41,32,23,14,71,3,2,109,16,13,4
PA,2019,344,2,229,9,79,5,3,21,1,2,2,6,21,28,84,62,189,34,18,77,9,3,229,5,12,2
PA,2020,393,1,250,11,81,6,8,23,5,11,0,8,56,38,119,110,342,37,11,101,9,1,295,2,17,5
PA,2021,9440,54,11491,333,2199,276,327,1800,174,345,0,356,2548,2220,8383,3218,22960,2068,315,2868,271,99,13288,6744,703,316
PA,2022,11230,78,12710,312,2583,398,469,1863,177,412,0,335,2699,2607,9902,3734,18381,2309,361,3185,316,102,16704,6704,772,335
RI,2018,1590,3,2844,74,249,22,16,344,15,28,81,36,184,292,1258,353,824,291,49,556,41,20,1553,31,246,38
RI,2019,1543,6,2754,58,247,37,23,410,24,39,93,34,179,290,1351,470,898,290,54,651,46,9,1749,11,218,39
RI,2020,2036,4,2586,48,256,42,46,534,15,61,45,43,325,266,1392,566,1384,299,46,604,54,19,2897,29,267,41
RI,2021,2085,8,2475,31,252,48,37,481,19,52,0,58,366,284,1337,522,1421,298,56,603,45,12,3100,35,204,33
RI,2022,2060,7,2222,26,259,58,58,510,12,79,0,58,380,251,1412,579,1570,309,34,582,50,21,3309,27,158,32
SC,2018,22634,64,23500,585,3957,371,281,3151,385,432,487,585,1705,3749,9602,3715,9790,3279,662,7494,422,100,8672,11087,903,1201
SC,2019,22534,68,23576,592,3786,362,249,2991,349,462,43,563,1587,3471,9796,3593,9871,3066,638,7070,384,111,8484,11170,871,960
SC,2020,19066,47,24348,447,3452,325,191,2662,299,433,0,501,1853,3511,8921,3668,9982,3095,549,6967,412,124,8460,10210,793,899
SC,2021,19128,56,23982,436,3639,352,212,2633,326,499,0,514,1825,3329,9894,3806,10506,2893,517,6695,405,115,9256,10243,723,613
SC,2022,19208,49,22298,373,3559,403,269,2573,305,456,0,460,1742,3294,9841,3756,10926,2983,515,6350,376,99,8463,10385,642,449
SD,2018,1850,13,2079,36,299,8,7,236,31,21,42,27,62,205,843,346,3540,385,54,612,31,14,774,255,132,18
SD,2019,1957,16,2381,40,367,4,11,251,28,15,39,34,70,236,798,373,3752,399,47,684,40,17,868,309,183,20
SD,2020,2473,14,3452,56,500,11,9,362,30,27,29,37,153,277,1013,550,1390,536,74,883,49,29,1476,483,225,21
SD,2021,3249,8,3818,60,608,31,47,436,36,63,0,60,165,376,1551,775,2626,660,81,955,62,16,2525,343,282,28
SD,2022,3429,13,3756,54,552,37,72,506,26,127,0,62,235,516,2035,919,1959,741,72,886,65,22,3595,432,302,29
TN,2018,27909,70,37692,743,5522,526,475,4646,435,859,1527,1114,3156,4736,14819,7220,19612,5461,930,11368,820,191,22888,15468,2141,139
TN,2019,26009,74,31132,638,5403,521,534,4448,469,911,913,1153,3100,4536,14492,6921,22608,5412,860,11024,749,235,22597,15453,1533,142
TN,2020,23467,57,30560,624,5330,480,406,4497,438,897,0,1073,3455,4522,13721,6707,31938,5206,881,10222,736,199,23353,14455,1491,148
TN,2021,24725,55,29069,575,5691,495,473,4393,442,900,0,1038,3560,4228,14001,7217,50273,5407,859,10073,742,194,26540,15786,1431,131
TN,2022,23376,56,24249,611,5451,575,487,3876,312,855,0,944,3388,4175,11155,6642,28509,4806,788,9251,723,201,23981,16031,1295,180
TX,2018,25611,123,30050,437,5136,746,456,4091,529,769,618,1620,2485,17775,7717,7777,31695,6310,1372,13798,1032,249,23103,7457,3927,4822
TX,2019,42303,180,45992,419,7769,1188,902,6770,766,1196,747,2476,4059,26597,12912,11447,52797,9711,2141,20528,1494,406,45859,10471,5863,6725
TX,2020,59093,177,66484,977,11309,1341,1349,9824,986,1635,61,3889,7819,31314,16867,17312,100708,14060,2896,29220,2203,568,81375,14596,8510,9273
TX,2021,80471,238,83669,1252,14628,1936,2277,13688,1343,2421,0,5100,11473,32092,30490,23514,204981,17678,3931,37971,2822,827,117582,18637,11162,12167
TX,2022,77467,284,77154,1082,14979,2130,2464,13107,1261,2688,0,5004,10992,29527,33415,24363,216113,17672,3632,37514,2812,739,122567,17347,10224,10572
UT,2018,5002,38,4748,253,2424,87,58,1064,173,94,167,213,453,1029,2849,1263,5022,1167,312,2653,117,47,3489,2212,554,165
UT,2019,5539,28,5167,185,2496,111,118,1040,191,120,132,205,595,950,3096,1468,8317,1341,312,2693,119,68,4480,2182,537,162
